time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
2023-03-30,AALI.JK,7640465000.0,2041854000.0,3285378000.0,1912641000.0,29388302000.0,6900295000.0,21925112000.0,352749000.0,509878000,-46995000.0,-22152000.0,1912641000.0,165703000,4761176000,224719000.0,62789000,4251298000,369602000,116.76,405841000
2022-12-30,AALI.JK,7390608000.0,2052939000.0,3395206000.0,1619616000.0,29249340000.0,7006119000.0,21684037000.0,80057000.0,1160948000,-331583000.0,-2953609000.0,1619616000.0,735605000,5311402000,510706000.0,57319000,4150454000,722757000,,758162000
2022-09-29,AALI.JK,10869912000.0,6638214000.0,3723902000.0,4873551000.0,32638650000.0,10985810000.0,21110334000.0,2340171000.0,840574000,-338130000.0,894686000.0,4873551000.0,448938000,5552411000,406588000.0,102526000,4711837000,662867000,,702075000
2022-06-29,AALI.JK,9390592000.0,5633435000.0,4713719000.0,1956801000.0,30233993000.0,8884801000.0,20828219000.0,-903745000.0,826232000,-289662000.0,-851327000.0,1956801000.0,502879000,4383457000,325861000.0,97079000,3557225000,591839000,,628853000
2022-03-30,AALI.JK,10323025000.0,6257746000.0,3610353000.0,3993025000.0,31232777000.0,9525261000.0,21133286000.0,318914000.0,994363000,-182843000.0,-95901000.0,3993025000.0,683210000,6581321000,483452000.0,91456000,5586958000,800095000,251.18,835664000
2022-12-30,ANDI.JK,77817661.0,51320418.0,15886865.0,15020216.0,444210370.0,205516462.0,238693909.0,19153777.0,1200021,-2994706.0,-8600716.0,15020216.0,-28003810,71876919,-23830321.0,3654370,70676898,-20739893,,-15498761
2022-09-29,ANDI.JK,83154026.0,50263214.0,40764067.0,7461861.0,472247606.0,209939198.0,262308408.0,10254559.0,32442341,-3621768.0,-3725660.0,7461861.0,20390289,70104423,16799149.0,3791971,37662082,20375584,,21307454
2022-06-29,ANDI.JK,70791394.0,56444684.0,52173437.0,4554730.0,465328805.0,219819547.0,245509259.0,-5228682.0,-13712660,-3309073.0,-1837838.0,4554730.0,-10305365,104735696,-14949882.0,3698908,118448356,-11460466,,-10100558
2022-03-30,ANDI.JK,103070407.0,68283186.0,42918240.0,14930324.0,495992235.0,235533094.0,260459141.0,8979064.0,2848930,-1992978.0,-2034386.0,14930324.0,15967119,71138608,11193384.0,3824566,68289678,14790447,4.86,16181774
2022-12-30,ANJT.JK,59148.0,40470.0,20729.0,10821.0,602590.0,178479.0,422006.0,23520.0,7507,-13661.0,-16700.0,10821.0,3324,67298,352.345,1394,59791,3732,,3687
2022-09-29,ANJT.JK,80187.0,39426.0,30683.0,17662.0,625219.0,198937.0,424359.0,10487.0,8783,-7672.0,-11871.0,17662.0,5205,57720,1853.0,1257,48937,5320,,5487
2022-06-29,ANJT.JK,91466.0,47910.0,32194.0,26719.0,641769.0,211654.0,427984.0,2010.0,18046,-8644.0,-5446.0,26719.0,14208,68602,8280.0,1145,50556,13710,,13990
2022-03-30,ANJT.JK,95917.0,49404.0,29318.0,38799.0,663217.0,219183.0,441465.0,23979.0,19536,-3202.0,-9119.0,38799.0,16260,75546,11236.0,1270,56010,16812,0.0,16965
2022-12-30,BWPT.JK,1883769000.0,3394292000.0,777107000.0,108876000.0,12223568000.0,10173925000.0,2023353000.0,243835000.0,307011000,-183249000.0,-112876000.0,108876000.0,239493000,1134995000,31506000.0,180133000,827984000,255430000,,259527000
