time,company,current_assets,current_liabilities,inventories,cash&cashequiv,total_assets,total_liabilities,shareholder_equity,operating_cashflow,gross_profit,investing_cashflow,financing_cashflow,end_cash,operating_income,total_revenue,net_income,interest_expense,cost_of_good_sold,EBIT,EPS,EBITDA
2023-03-30,AALI.JK,7640465000000.0,2041854000000.0,3285378000000.0,1912641000000.0,29388302000000.0,6900295000000.0,21925112000000.0,352749000000.0,509878000000,-46995000000.0,-22152000000.0,1912641000000.0,165703000000,4761176000000,224719000000.0,62789000000,4251298000000,369602000000,116.76,405841000000
2022-12-30,AALI.JK,7390608000000.0,2052939000000.0,3395206000000.0,1619616000000.0,29249340000000.0,7006119000000.0,21684037000000.0,80057000000.0,1160948000000,-331583000000.0,-2953609000000.0,1619616000000.0,735605000000,5311402000000,510706000000.0,57319000000,4150454000000,722757000000,,758162000000
2022-09-29,AALI.JK,10869912000000.0,6638214000000.0,3723902000000.0,4873551000000.0,32638650000000.0,10985810000000.0,21110334000000.0,2340171000000.0,840574000000,-338130000000.0,894686000000.0,4873551000000.0,448938000000,5552411000000,406588000000.0,102526000000,4711837000000,662867000000,,702075000000
2022-06-29,AALI.JK,9390592000000.0,5633435000000.0,4713719000000.0,1956801000000.0,30233993000000.0,8884801000000.0,20828219000000.0,-903745000000.0,826232000000,-289662000000.0,-851327000000.0,1956801000000.0,502879000000,4383457000000,325861000000.0,97079000000,3557225000000,591839000000,,628853000000
2022-03-30,AALI.JK,10323025000000.0,6257746000000.0,3610353000000.0,3993025000000.0,31232777000000.0,9525261000000.0,21133286000000.0,318914000000.0,994363000000,-182843000000.0,-95901000000.0,3993025000000.0,683210000000,6581321000000,483452000000.0,91456000000,5586958000000,800095000000,251.18,835664000000
2022-12-30,ANDI.JK,77817661000.0,51320418000.0,15886865000.0,15020216000.0,444210370000.0,205516462000.0,238693909000.0,19153777000.0,1200021000,-2994706000.0,-8600716000.0,15020216000.0,-28003810000,71876919000,-23830321000.0,3654370000,70676898000,-20739893000,,-15498761000
2022-09-29,ANDI.JK,83154026000.0,50263214000.0,40764067000.0,7461861000.0,472247606000.0,209939198000.0,262308408000.0,10254559000.0,32442341000,-3621768000.0,-3725660000.0,7461861000.0,20390289000,70104423000,16799149000.0,3791971000,37662082000,20375584000,,21307454000
2022-06-29,ANDI.JK,70791394000.0,56444684000.0,52173437000.0,4554730000.0,465328805000.0,219819547000.0,245509259000.0,-5228682000.0,-13712660000,-3309073000.0,-1837838000.0,4554730000.0,-10305365000,104735696000,-14949882000.0,3698908000,118448356000,-11460466000,,-10100558000
2022-03-30,ANDI.JK,103070407000.0,68283186000.0,42918240000.0,14930324000.0,495992235000.0,235533094000.0,260459141000.0,8979064000.0,2848930000,-1992978000.0,-2034386000.0,14930324000.0,15967119000,71138608000,11193384000.0,3824566000,68289678000,14790447000,4.86,16181774000
2022-12-30,ANJT.JK,59148000.0,40470000.0,20729000.0,10821000.0,602590000.0,178479000.0,422006000.0,23520000.0,7507000,-13661000.0,-16700000.0,10821000.0,3324000,67298000,352345.0,1394000,59791000,3732000,,3687000
2022-09-29,ANJT.JK,80187000.0,39426000.0,30683000.0,17662000.0,625219000.0,198937000.0,424359000.0,10487000.0,8783000,-7672000.0,-11871000.0,17662000.0,5205000,57720000,1853000.0,1257000,48937000,5320000,,5487000
2022-06-29,ANJT.JK,91466000.0,47910000.0,32194000.0,26719000.0,641769000.0,211654000.0,427984000.0,2010000.0,18046000,-8644000.0,-5446000.0,26719000.0,14208000,68602000,8280000.0,1145000,50556000,13710000,,13990000
2022-03-30,ANJT.JK,95917000.0,49404000.0,29318000.0,38799000.0,663217000.0,219183000.0,441465000.0,23979000.0,19536000,-3202000.0,-9119000.0,38799000.0,16260000,75546000,11236000.0,1270000,56010000,16812000,0.0,16965000
2022-12-30,BWPT.JK,1883769000000.0,3394292000000.0,777107000000.0,108876000000.0,12223568000000.0,10173925000000.0,2023353000000.0,243835000000.0,307011000000,-183249000000.0,-112876000000.0,108876000000.0,239493000000,1134995000000,31506000000.0,180133000000,827984000000,255430000000,,259527000000
2022-09-29,BWPT.JK,1894751000000.0,3119447000000.0,738098000000.0,161114000000.0,12087873000000.0,10061970000000.0,1996181000000.0,95970000000.0,262852000000,-7209000000.0,-80551000000.0,161114000000.0,157132000000,1119313000000,174210000000.0,122210000000,856461000000,130415000000,,131960000000
2022-06-29,BWPT.JK,1998575000000.0,3121953000000.0,726848000000.0,152909000000.0,12127108000000.0,10266975000000.0,1829175000000.0,162705000000.0,229310000000,12465000000.0,-115711000000.0,152909000000.0,140377000000,1575318000000,29439000000.0,135284000000,1346008000000,144293000000,,146329000000
2022-03-30,BWPT.JK,1874619000000.0,2990435000000.0,785595000000.0,93465000000.0,12014676000000.0,10186724000000.0,1799735000000.0,11785000000.0,232283000000,-22470000000.0,575000000.0,93465000000.0,159591000000,744498000000,-217677000000.0,143984000000,512215000000,-63457000000,-6.9,159037000000
2022-06-29,CBUT.JK,2025287000000.0,1991623000000.0,1043372000000.0,131383000000.0,2451812000000.0,2293824000000.0,157988000000.0,139095000000.0,269630000000,-1849000000.0,28231000000.0,317115000000.0,14703000000,1405754000000,-3085000000.0,20118000000,1136124000000,-844000000,,-844000000
2023-03-30,DSNG.JK,3141392000000.0,3120412000000.0,1621084000000.0,331100000000.0,15476271000000.0,7101092000000.0,8248191000000.0,432511000000.0,523219000000,-421006000000.0,-66411000000.0,256215000000.0,327976000000,2066374000000,213765000000.0,106380000000,1543155000000,393488000000,20.17,393478000000
2022-09-29,DSNG.JK,2935322000000.0,2824965000000.0,1532580000000.0,345488000000.0,14650042000000.0,6938939000000.0,7581452000000.0,677015000000.0,954779000000,-342626000000.0,-209653000000.0,307113000000.0,684908000000,2798615000000,430374000000.0,94673000000,1843836000000,648988000000,,656201000000
2022-06-29,DSNG.JK,2807315000000.0,2649217000000.0,1556824000000.0,316459000000.0,14482908000000.0,7202411000000.0,7151078000000.0,27158000000.0,725230000000,-258348000000.0,27813000000.0,182380000000.0,486256000000,2142536000000,258069000000.0,93431000000,1417306000000,456875000000,,460892000000
2022-03-30,DSNG.JK,2614651000000.0,2258588000000.0,1264573000000.0,390390000000.0,14174588000000.0,6940559000000.0,7105006000000.0,340098000000.0,461440000000,-240640000000.0,-133578000000.0,385757000000.0,375321000000,1644637000000,204669000000.0,94443000000,1183197000000,369156000000,19.31,374229000000
2022-12-30,FAPA.JK,1808824969000.0,2052811807000.0,956459004000.0,507768260000.0,8624008935000.0,4724996944000.0,3711093420000.0,770150011000.0,395218617000,-174972296000.0,-392841689000.0,80029069000.0,334852323000,1390637044000,163085079000.0,46251162000,995418427000,293082258000,,293605252000
2022-09-29,FAPA.JK,1762830263000.0,2064923699000.0,1105035868000.0,305874907000.0,8496384987000.0,4759339164000.0,3544131597000.0,416458735000.0,258949779000,-177384625000.0,-344576187000.0,-122306957000.0,183837647000,902598586000,111566446000.0,47696870000,643648807000,200927115000,,201614898000
2022-06-29,FAPA.JK,1460512764000.0,1692880982000.0,843171548000.0,129702759000.0,8160827323000.0,4517011367000.0,3432792192000.0,233491759000.0,497381263000,-111537123000.0,-363950434000.0,-16804880000.0,395687325000,1422976885000,146122074000.0,36387396000,925595621000,236713749000,,236230954000
2022-03-30,FAPA.JK,1473348047000.0,1756123184000.0,834263642000.0,287092662000.0,8155028265000.0,4666063691000.0,3286897160000.0,475636837000.0,464780313000,-88370568000.0,-328520426000.0,225190919000.0,390484336000,1112421086000,288370346000.0,38857211000,647640773000,432166482000,79.45,432703332000
2022-12-30,GZCO.JK,456869000000.0,455883000000.0,210937000000.0,165210000000.0,2045406000000.0,892864000000.0,1107139000000.0,230359000000.0,75017000000,-66730000000.0,-47781000000.0,165210000000.0,51655000000,173081000000,81714000000.0,10300000000,98064000000,102472000000,,104328000000
2022-09-29,GZCO.JK,161353000000.0,380741000000.0,102500000000.0,49362000000.0,1784609000000.0,714939000000.0,1024414000000.0,37289000000.0,34377000000,-8891000000.0,-46918000000.0,49362000000.0,15181000000,119549000000,7624000000.0,10086000000,85172000000,23550000000,,25750000000
2022-06-29,GZCO.JK,169931000000.0,352500000000.0,86473000000.0,67882000000.0,1817533000000.0,755749000000.0,1016790000000.0,-41581000000.0,5837000000,99668000000.0,-35495000000.0,67882000000.0,-12176000000,110212000000,-27434000000.0,11478000000,104375000000,-20522000000,,-18453000000
2022-03-30,GZCO.JK,224385000000.0,328807000000.0,56228000000.0,45290000000.0,1904725000000.0,815344000000.0,1044224000000.0,-47386000000.0,7299000000,11623000000.0,-31567000000.0,45290000000.0,-8240000000,151879000000,13730000000.0,11768000000,144580000000,31389000000,2.0,33501000000
2022-12-30,JAWA.JK,262493584000.0,655779238000.0,190865678000.0,112723000.0,3589642467000.0,3471237599000.0,108773597000.0,-14928732000.0,-9228891000,-27515961000.0,43006910000.0,1982726000.0,-21854631000,224032467000,-122874859000.0,40860357000,233261358000,-55352756000,,-41232767000
2022-09-29,JAWA.JK,312460563000.0,646047676000.0,208371933000.0,116320000.0,3665593487000.0,3506641347000.0,148662344000.0,-29343072000.0,-5039362000,-26999237000.0,46520066000.0,1420508000.0,-26846596000,210927836000,-87944631000.0,41374111000,215967198000,-51370751000,,-51254034000
2022-06-29,JAWA.JK,312189004000.0,596042367000.0,200356207000.0,206422000.0,3663674479000.0,3436754236000.0,216109168000.0,-66506986000.0,35939802000,-20931122000.0,95066533000.0,11242751000.0,20149315000,279011655000,-37342270000.0,41706640000,243071853000,5359995000,,5470953000
2022-03-30,JAWA.JK,282146992000.0,641926395000.0,198856335000.0,206516000.0,3635689896000.0,3430074335000.0,194694009000.0,-27267191000.0,5625064000,-29091077000.0,47216533000.0,3614326000.0,5427000,257569560000,-52044315000.0,42055390000,251944496000,-13260383000,-13.79,-13153152000
2022-12-30,LSIP.JK,5107489000000.0,709627000000.0,814576000000.0,3847390000000.0,12417013000000.0,1481306000000.0,10935562000000.0,326456000000.0,395122000000,-112143000000.0,-1211000000.0,3847390000000.0,337938000000,1540734000000,272202000000.0,146000000,1145612000000,326848000000,,393758000000
2022-09-29,LSIP.JK,5006057000000.0,811654000000.0,1051791000000.0,3606410000000.0,12403555000000.0,1814443000000.0,10588697000000.0,267779000000.0,256520000000,-83998000000.0,-348915000000.0,3606410000000.0,228312000000,997287000000,215486000000.0,156000000,740767000000,269721000000,,272878000000
2022-06-29,LSIP.JK,5121590000000.0,811616000000.0,878240000000.0,3749678000000.0,12506873000000.0,1785553000000.0,10720658000000.0,352083000000.0,399924000000,-86633000000.0,-1167000000.0,3749678000000.0,261474000000,1282395000000,244132000000.0,176000000,882471000000,307697000000,,310922000000
2022-03-30,LSIP.JK,4776478000000.0,717778000000.0,973634000000.0,3460392000000.0,12207153000000.0,1729979000000.0,10476166000000.0,140947000000.0,439878000000,-51084000000.0,-1145000000.0,3460392000000.0,383989000000,764932000000,304628000000.0,198000000,325054000000,379935000000,45.0,409356000000
2022-12-30,MGRO.JK,1429234676000.0,1423463510000.0,693644235000.0,457603973000.0,2561664000000.0,1916291204000.0,606893257000.0,158078640000.0,143303672000,-65047179000.0,-64535659000.0,457603973000.0,46522327000,1887255791000,28014868000.0,26859584000,1743952118000,41045545000,,40228465000
2022-09-29,MGRO.JK,1546194022000.0,1424475674000.0,762677946000.0,429108171000.0,2644782584000.0,2017409341000.0,583900117000.0,47608013000.0,126304914000,-48281378000.0,147172858000.0,429108171000.0,-10281842000,1439773855000,-45533505000.0,25806733000,1313468941000,-9532443000,,-8026317000
2022-06-29,MGRO.JK,1508066917000.0,1242910921000.0,763707282000.0,282608678000.0,2490603339000.0,1812743256000.0,618920282000.0,-209731988000.0,287734277000,-16680939000.0,399963234000.0,282608678000.0,34605793000,1755577190000,-8442026000.0,25491459000,1667070752000,29659455000,,32107068000
2022-03-30,MGRO.JK,1199371610000.0,1042356601000.0,621634744000.0,109058369000.0,2188025151000.0,1471671699000.0,652039337000.0,-281686445000.0,171266524000,-3097433000.0,303079176000.0,109058369000.0,29690766000,2423094106000,5856201000.0,17446482000,2052599742000,27809162000,1.66,30163623000
2022-03-30,MKTR.JK,144341173000.0,163806642000.0,36366997000.0,27125430000.0,628435492000.0,433636826000.0,193297925000.0,6508544000.0,27620818000,-10512235000.0,-18664953000.0,27125430000.0,17500376000,205154581000,9179438000.0,8320960000,177533763000,20089008000,0.76,20233443000
2022-09-29,PSGO.JK,1064251516000.0,473810645000.0,252484528000.0,477060972000.0,3876939712000.0,2311622927000.0,1565044765000.0,187597011000.0,49353451000,-83286358000.0,-80988913000.0,477060972000.0,-1302544000,360887205000,-27737874000.0,36221976000,311533754000,15629316000,,2964441000
2022-06-29,PSGO.JK,1111930814000.0,427577271000.0,312360864000.0,453739232000.0,3859651871000.0,2266597188000.0,1592782639000.0,34890369000.0,169450532000,33897962000.0,-19164479000.0,453739232000.0,134711710000,543790241000,72590950000.0,36318806000,374339708000,137980421000,,136404958000
2022-03-30,PSGO.JK,963475625000.0,395899188000.0,226511035000.0,404115379000.0,3782697886000.0,2262234176000.0,1520191690000.0,59266765000.0,165875342000,47756720000.0,-70364629000.0,404115379000.0,152305555000,576083637000,95651660000.0,38891878000,410208295000,155964377000,5.07,156528312000
2022-09-29,SGRO.JK,2005137000000.0,1551144000000.0,1084369000000.0,414485000000.0,10389890000000.0,5239850000000.0,5006773000000.0,236685000000.0,441411000000,-28079000000.0,-95802000000.0,414485000000.0,409123000000,1286932000000,267201000000.0,51920000000,845521000000,414399000000,,418072000000
2022-06-29,SGRO.JK,1728656000000.0,1528405000000.0,923055000000.0,301666000000.0,10114430000000.0,5229909000000.0,4742355000000.0,166596000000.0,631801000000,-126949000000.0,-367274000000.0,301666000000.0,433754000000,1364979000000,291241000000.0,46871000000,733178000000,435795000000,,439612000000
2022-03-30,SGRO.JK,1715037000000.0,1524952000000.0,759514000000.0,629255000000.0,10067939000000.0,5224957000000.0,4698983000000.0,348783000000.0,452376000000,-131208000000.0,-84639000000.0,629255000000.0,381414000000,1258876000000,247887000000.0,55746000000,806500000000,384492000000,136.0,388040000000
2022-12-30,SIMP.JK,10442878000000.0,9460845000000.0,4037670000000.0,4296674000000.0,36113081000000.0,14945799000000.0,16832316000000.0,499406000000.0,1306409000000,-502415000000.0,-430915000000.0,4296674000000.0,1047520000000,5459041000000,302048000000.0,160635000000,4152632000000,751918000000,,1017653000000
2022-09-29,SIMP.JK,10844415000000.0,10434388000000.0,4635039000000.0,4723579000000.0,36777959000000.0,16173004000000.0,16361069000000.0,1789768000000.0,1142437000000,-333594000000.0,-925941000000.0,4723579000000.0,1034321000000,4262351000000,455318000000.0,149815000000,3119914000000,890484000000,,1121896000000
2022-06-29,SIMP.JK,10655524000000.0,9416867000000.0,4240723000000.0,4122182000000.0,36710233000000.0,16282226000000.0,16107797000000.0,890000000.0,864207000000,-382015000000.0,-257114000000.0,4122182000000.0,347824000000,4031700000000,143772000000.0,147381000000,3167493000000,461216000000,,238364000000
2022-03-30,SIMP.JK,11021711000000.0,9953907000000.0,4421618000000.0,4731101000000.0,37015427000000.0,16809436000000.0,15964562000000.0,1305521000000.0,1336154000000,-250350000000.0,-55277000000.0,4731101000000.0,1074152000000,4041154000000,297229000000.0,152997000000,2705000000000,904196000000,19.0,1197624000000
2022-12-30,SMAR.JK,23708820000000.0,12104564000000.0,8961163000000.0,2479597000000.0,42600814000000.0,23353011000000.0,19234622000000.0,1896408000000.0,2944910000000,-420307000000.0,-1874202000000.0,2479597000000.0,2020169000000,18009570000000,1914318000000.0,327307000000,15064660000000,2609416000000,,2673282000000
2022-09-29,SMAR.JK,24374956000000.0,13351491000000.0,8401166000000.0,2912033000000.0,42884291000000.0,25643646000000.0,17226606000000.0,2934181000000.0,3298770000000,-213150000000.0,-2402336000000.0,2912033000000.0,1643225000000,20930735000000,1661055000000.0,343603000000,17631965000000,2358999000000,,2422327000000
2022-06-29,SMAR.JK,25296664000000.0,15088029000000.0,11422188000000.0,2522315000000.0,43094171000000.0,26992299000000.0,16089075000000.0,1313529000000.0,3925147000000,-416462000000.0,-512745000000.0,2522315000000.0,1657824000000,18724939000000,1014290000000.0,335025000000,14799792000000,1673869000000,,1735676000000
2022-03-30,SMAR.JK,24914349000000.0,15874547000000.0,9547550000000.0,2105844000000.0,42613800000000.0,27277291000000.0,15324807000000.0,-1860845000000.0,3142847000000,-252718000000.0,1495054000000.0,2105844000000.0,1267462000000,17380315000000,910856000000.0,309579000000,14237468000000,1479201000000,317.0,1538986000000
2022-12-30,SSMS.JK,2881812789000.0,2789176598000.0,673177637000.0,946867315000.0,13969704123000.0,7525735291000.0,6405737104000.0,771497099000.0,377139577000,-213622366000.0,-832045028000.0,946867315000.0,136962351000,2153559714000,285119267000.0,131838419000,1776420137000,346652043000,,358126428000
2022-09-29,SSMS.JK,3705946261000.0,2463956571000.0,1058128063000.0,1247887802000.0,14238977209000.0,7359870721000.0,6837439467000.0,189137631000.0,691431353000,-65316381000.0,-58173327000.0,1247887802000.0,407853097000,1756156233000,536563049000.0,138167199000,1064724880000,836393121000,,842213585000
2022-06-29,SSMS.JK,3705803523000.0,6070626814000.0,1227080040000.0,1185371431000.0,14238130642000.0,7902906201000.0,6295541441000.0,75478876000.0,622028614000,-86267959000.0,-859970563000.0,1185371431000.0,218993645000,1170341946000,26034098000.0,123340471000,548313332000,214365888000,,220430969000
2022-03-30,SSMS.JK,4242343875000.0,5594657707000.0,942367391000.0,2025846219000.0,14685299445000.0,7576885777000.0,7068389681000.0,420097465000.0,1278419210000,-147371489000.0,-81844398000.0,2025846219000.0,1308970161000,2181160578000,989659554000.0,121562773000,902741368000,1393064121000,103.9,1397233425000
2022-09-29,STAA.JK,2384194000000.0,1021202000000.0,779014000000.0,1419074000000.0,7047474000000.0,2687210000000.0,4034739000000.0,617946000000.0,451779000000,-359853000000.0,-403939000000.0,1419074000000.0,338222000000,1418219000000,244436000000.0,32747000000,966440000000,392691000000,,371147000000
2022-06-29,STAA.JK,2575041000000.0,925881000000.0,770817000000.0,1564920000000.0,6922761000000.0,2704253000000.0,3916977000000.0,2065000000.0,452147000000,-38514000000.0,-207269000000.0,1564920000000.0,357770000000,1351647000000,199867000000.0,39020000000,899500000000,352682000000,,380607000000
